epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1721.82,0.7328,0.50916,1.08132,0.88109,0.86751,0.89872,0.61876,1.00822,0.6187,1.08055,0.000660045,0.000660045,0.000660045
43,1762.87,0.73206,0.50409,1.07577,0.87507,0.86731,0.89515,0.6166,1.01718,0.6269,1.08754,0.000649046,0.000649046,0.000649046
44,1803.68,0.73286,0.50277,1.07354,0.88456,0.87451,0.90367,0.63079,0.99839,0.6084,1.07495,0.000638047,0.000638047,0.000638047
45,1844.62,0.72909,0.50163,1.07373,0.8838,0.87337,0.90612,0.63619,0.98612,0.60049,1.07506,0.000627048,0.000627048,0.000627048
46,1885.01,0.72664,0.494,1.07339,0.88247,0.8728,0.90397,0.63159,0.99857,0.60212,1.08115,0.000616049,0.000616049,0.000616049
47,1925.68,0.72431,0.49112,1.07343,0.89173,0.86893,0.90374,0.63514,0.98366,0.6009,1.06677,0.000605051,0.000605051,0.000605051
48,1966.35,0.72331,0.48798,1.07059,0.88736,0.87769,0.90418,0.62957,0.98005,0.59691,1.06603,0.000594052,0.000594052,0.000594052
49,2006.81,0.7245,0.49184,1.07142,0.88804,0.87718,0.90883,0.63591,1.00179,0.58016,1.08716,0.000583053,0.000583053,0.000583053
50,2045.49,0.71741,0.48102,1.06683,0.89103,0.87624,0.90838,0.63463,0.98914,0.59164,1.07049,0.000572054,0.000572054,0.000572054
51,2085.99,0.71928,0.48378,1.06978,0.89734,0.88259,0.91141,0.64419,0.97656,0.58017,1.06316,0.000561055,0.000561055,0.000561055
52,2127.68,0.71701,0.47691,1.06877,0.89522,0.87778,0.91126,0.64342,0.992,0.57086,1.07888,0.000550056,0.000550056,0.000550056
53,2167.75,0.71142,0.4742,1.06585,0.89415,0.87794,0.91411,0.63863,1.00863,0.58696,1.08657,0.000539057,0.000539057,0.000539057
54,2208.02,0.71242,0.47308,1.06761,0.88805,0.88743,0.91271,0.64641,0.99422,0.5605,1.07916,0.000528058,0.000528058,0.000528058
55,2248.99,0.70679,0.46929,1.0612,0.89548,0.88074,0.9141,0.64472,0.99917,0.57087,1.0806,0.000517059,0.000517059,0.000517059
56,2289.37,0.70325,0.46522,1.06202,0.9025,0.88447,0.91327,0.65165,0.98312,0.55734,1.07625,0.00050606,0.00050606,0.00050606
57,2330.51,0.70414,0.46669,1.05928,0.89878,0.8828,0.9147,0.65402,0.97917,0.54787,1.06905,0.000495062,0.000495062,0.000495062
58,2370.54,0.7039,0.45988,1.0625,0.90194,0.88663,0.91874,0.6537,0.97761,0.53588,1.06462,0.000484063,0.000484063,0.000484063
59,2410.69,0.70042,0.45939,1.05912,0.9031,0.88831,0.91946,0.65294,0.97795,0.53895,1.06934,0.000473064,0.000473064,0.000473064
60,2451.23,0.69965,0.45685,1.05825,0.90562,0.89134,0.92172,0.65838,0.969,0.5313,1.0632,0.000462065,0.000462065,0.000462065
61,2492.07,0.70178,0.45498,1.05647,0.9027,0.89425,0.92062,0.65488,0.98809,0.54174,1.07608,0.000451066,0.000451066,0.000451066
62,2532.74,0.69265,0.44988,1.05479,0.90365,0.88992,0.92008,0.65669,0.97594,0.5407,1.07108,0.000440067,0.000440067,0.000440067
63,2573.04,0.68927,0.44209,1.04944,0.90549,0.89254,0.92324,0.65881,0.97924,0.55862,1.06534,0.000429068,0.000429068,0.000429068
64,2613.84,0.68839,0.44594,1.05265,0.90824,0.89257,0.92427,0.6577,0.9784,0.55583,1.0658,0.000418069,0.000418069,0.000418069
65,2655.1,0.69056,0.44443,1.05231,0.90862,0.89488,0.92566,0.6621,0.97469,0.53632,1.06663,0.00040707,0.00040707,0.00040707
66,2695.56,0.68837,0.43914,1.05167,0.91325,0.89565,0.92458,0.66411,0.97448,0.55017,1.06642,0.000396071,0.000396071,0.000396071
67,2736.64,0.68491,0.43934,1.0494,0.91522,0.89239,0.92891,0.66585,0.9712,0.53219,1.06237,0.000385073,0.000385073,0.000385073
68,2777.71,0.68104,0.43705,1.04553,0.91467,0.8928,0.92769,0.66485,0.97415,0.52726,1.0659,0.000374074,0.000374074,0.000374074
69,2818.46,0.67797,0.43221,1.04512,0.9059,0.90098,0.9293,0.66741,0.97363,0.52109,1.06892,0.000363075,0.000363075,0.000363075
70,2859.7,0.67641,0.43348,1.04557,0.90951,0.89854,0.92767,0.66846,0.97106,0.51938,1.06903,0.000352076,0.000352076,0.000352076
71,2900.56,0.67805,0.4322,1.04847,0.91019,0.90094,0.93062,0.67154,0.96766,0.51612,1.06921,0.000341077,0.000341077,0.000341077
72,2941.18,0.67452,0.42705,1.03859,0.91112,0.90432,0.93085,0.67097,0.96353,0.53361,1.05905,0.000330078,0.000330078,0.000330078
73,2981.37,0.67442,0.4263,1.04281,0.91162,0.90576,0.93255,0.66911,0.97545,0.53909,1.06696,0.000319079,0.000319079,0.000319079
74,3022.15,0.66759,0.42165,1.03947,0.91356,0.9002,0.92929,0.6686,0.97206,0.54071,1.06432,0.00030808,0.00030808,0.00030808
75,3063.02,0.67083,0.42281,1.03962,0.91242,0.90262,0.93137,0.67348,0.95256,0.52292,1.05122,0.000297081,0.000297081,0.000297081
76,3102.63,0.67085,0.41948,1.03799,0.90989,0.90348,0.93075,0.67384,0.95338,0.52235,1.04971,0.000286083,0.000286083,0.000286083
77,3143.02,0.66984,0.42052,1.04228,0.91333,0.90316,0.93139,0.67463,0.95645,0.52886,1.05547,0.000275084,0.000275084,0.000275084
78,3183.73,0.66687,0.41679,1.03517,0.9115,0.90792,0.93156,0.67643,0.95391,0.52212,1.05379,0.000264085,0.000264085,0.000264085
79,3224.81,0.66504,0.414,1.03528,0.91085,0.9075,0.93256,0.67564,0.95785,0.52395,1.05545,0.000253086,0.000253086,0.000253086
